date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:29	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:29%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/image005.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/image005.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2.htm)
18:32:29	40954/40954	---M--	200	added ('OK')	image/gif	etag:%226e41bb-9ffa-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/buffet.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/buffet.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fotos.htm)
18:32:29	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:29%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/image006.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/image006.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2.htm)
18:32:29	18060/18060	---M-Z	200	added ('OK')	text/html	etag:%226e41b7-468c-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria3.htm	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria3.html	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2.htm)
18:32:30	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:30%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria3_archivos/filelist.xml	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria3_archivos/filelist.xml	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria3.htm)
18:32:30	9840/9840	---M-Z	200	added ('OK')	text/html	etag:%226e41c1-2670-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria4.htm	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria4.html	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria3.htm)
18:32:32	36989/36989	---M--	200	added ('OK')	image/gif	etag:%226e41af-907d-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/maqele.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/maqele.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fotos.htm)
18:32:33	54968/54968	---M--	200	added ('OK')	image/gif	etag:%226e41a0-d6b8-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/informat.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/informat.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fotos.htm)
18:32:33	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:33%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria4_archivos/filelist.xml	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria4_archivos/filelist.xml	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria4.htm)
18:32:33	11381/11381	---M-Z	200	added ('OK')	text/html	etag:%226e41be-2c75-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria5.htm	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria5.html	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria4.htm)
